,0,1,2
0,250,0.7685,82.7608
1,500,0.6308,82.7608
2,750,0.6600,82.7608
3,1000,0.6563,82.7608
4,1250,0.3734,86.9496
5,1500,0.3283,88.5026
6,1750,0.4205,90.9328
7,2000,0.2169,92.0884
8,2250,0.1761,93.0248
9,2500,0.4705,93.4588
10,2750,0.1389,93.4360
11,3000,0.2888,93.5502
12,3250,0.1700,93.8653
13,3500,0.1242,93.9247
14,3750,0.2054,93.9476
15,4000,0.3350,93.8197
16,4250,0.2571,94.0709
17,4500,0.2270,94.1851
18,4750,0.2326,94.1440
19,5000,0.1564,94.3678
20,5250,0.2158,94.5962
21,5500,0.1793,95.0393
22,5750,0.1577,94.7652
23,6000,0.0754,95.0302
24,6250,0.1255,95.2448
25,6500,0.0675,95.1124
26,6750,0.1658,95.5966
27,7000,0.2696,95.6422
28,7250,0.0809,95.5783
29,7500,0.1873,95.6559
30,7750,0.3120,95.7701
31,8000,0.0911,95.4321
32,8250,0.1101,95.8980
33,8500,0.1262,96.0214
34,8750,0.2356,95.8021
35,9000,0.1815,95.6651
36,9250,0.1687,96.2269
37,9500,0.2204,96.2543
38,9750,0.0608,95.8798
39,10000,0.0921,96.6015
40,10250,0.1600,96.3092
41,10500,0.1433,96.4371
42,10750,0.2045,96.2315
43,11000,0.0945,96.7294
44,11250,0.1563,96.4919
45,11500,0.0933,96.5421
46,11750,0.0961,96.8208
47,12000,0.2042,96.7934
48,12250,0.1778,96.6335
49,12500,0.0262,96.7888
50,12750,0.0391,96.9806
51,13000,0.0429,96.8710
52,13250,0.2034,96.7705
53,13500,0.0904,97.0629
54,13750,0.0415,97.0857
55,14000,0.0661,96.7751
56,14250,0.0706,96.9989
57,14500,0.0689,96.8025
58,14750,0.0208,97.0446
59,15000,0.0798,96.9532
60,15250,0.1581,97.1314
61,15500,0.1518,96.9441
62,15750,0.0882,96.9624
63,16000,0.1829,96.9212
64,16250,0.0743,97.1542
65,16500,0.1758,97.2867
66,16750,0.1483,96.9212
