,0,1,2
0,250,tensor(0.5491),tensor(72.2089)
1,500,tensor(0.5058),tensor(78.3923)
2,750,tensor(0.3832),tensor(79.6290)
3,1000,tensor(0.3623),tensor(80.6939)
4,1250,tensor(0.4437),tensor(82.9268)
5,1500,tensor(0.3346),tensor(84.0605)
6,1750,tensor(0.4075),tensor(84.0605)
7,2000,tensor(0.2239),tensor(85.9155)
8,2250,tensor(0.3072),tensor(87.6331)
9,2500,tensor(0.3021),tensor(88.9042)
10,2750,tensor(0.2130),tensor(90.0721)
11,3000,tensor(0.2311),tensor(90.9653)
12,3250,tensor(0.1779),tensor(89.2133)
13,3500,tensor(0.2572),tensor(91.0684)
14,3750,tensor(0.1527),tensor(91.4806)
15,4000,tensor(0.1927),tensor(92.2363)
16,4250,tensor(0.1384),tensor(92.0302)
17,4500,tensor(0.2643),tensor(91.7898)
18,4750,tensor(0.1743),tensor(92.9577)
19,5000,tensor(0.1893),tensor(92.9921)
20,5250,tensor(0.1060),tensor(93.1639)
21,5500,tensor(0.1878),tensor(93.2669)
22,5750,tensor(0.1616),tensor(93.7135)
23,6000,tensor(0.1417),tensor(92.9577)
24,6250,tensor(0.1000),tensor(93.6104)
25,6500,tensor(0.1937),tensor(93.7822)
26,6750,tensor(0.1106),tensor(94.2631)
27,7000,tensor(0.1967),tensor(94.0914)
28,7250,tensor(0.1182),tensor(94.6067)
29,7500,tensor(0.0593),tensor(94.6410)
30,7750,tensor(0.1889),tensor(94.3318)
31,8000,tensor(0.1410),tensor(94.3662)
32,8250,tensor(0.1500),tensor(94.4693)
33,8500,tensor(0.1461),tensor(94.5380)
34,8750,tensor(0.0425),tensor(94.2975)
35,9000,tensor(0.0790),tensor(94.2288)
36,9250,tensor(0.1405),tensor(94.6410)
37,9500,tensor(0.2174),tensor(94.8815)
38,9750,tensor(0.1069),tensor(94.1257)
39,10000,tensor(0.0640),tensor(94.9845)
40,10250,tensor(0.1064),tensor(94.4349)
41,10500,tensor(0.0474),tensor(94.9502)
42,10750,tensor(0.0773),tensor(94.7441)
43,11000,tensor(0.0569),tensor(94.5036)
44,11250,tensor(0.0561),tensor(95.4998)
45,11500,tensor(0.1297),tensor(94.7784)
46,11750,tensor(0.0621),tensor(95.2594)
47,12000,tensor(0.0552),tensor(94.5036)
48,12250,tensor(0.0488),tensor(95.1563)
49,12500,tensor(0.0164),tensor(94.8128)
50,12750,tensor(0.0798),tensor(95.2937)
51,13000,tensor(0.0423),tensor(95.5685)
52,13250,tensor(0.1011),tensor(95.3281)
53,13500,tensor(0.0550),tensor(94.6754)
54,13750,tensor(0.0326),tensor(95.0876)
55,14000,tensor(0.0288),tensor(95.6372)
56,14250,tensor(0.0319),tensor(94.6754)
57,14500,tensor(0.0921),tensor(95.1563)
58,14750,tensor(0.0202),tensor(95.5342)
59,15000,tensor(0.0839),tensor(95.0189)
60,15250,tensor(0.0800),tensor(94.8471)
61,15500,tensor(0.0488),tensor(95.3968)
62,15750,tensor(0.0531),tensor(94.6410)
63,16000,tensor(0.0206),tensor(95.0876)
64,16250,tensor(0.0066),tensor(94.4006)
65,16500,tensor(0.1676),tensor(94.9845)
66,16750,tensor(0.0528),tensor(94.9158)
67,17000,tensor(0.0499),tensor(95.3968)
68,17250,tensor(0.0317),tensor(95.2250)
69,17500,tensor(0.0151),tensor(94.7441)
70,17750,tensor(0.0453),tensor(94.9502)
71,18000,tensor(0.0192),tensor(95.0532)
72,18250,tensor(0.0221),tensor(93.9540)
73,18500,tensor(0.0510),tensor(94.8128)
74,18750,tensor(0.0997),tensor(95.3281)
75,19000,tensor(0.0182),tensor(94.9845)
76,19250,tensor(0.0141),tensor(95.0876)
77,19500,tensor(0.0527),tensor(94.5036)
78,19750,tensor(0.0323),tensor(94.3318)
79,20000,tensor(0.0254),tensor(95.2250)
80,20250,tensor(0.0123),tensor(95.1907)
81,20500,tensor(0.0053),tensor(93.7479)
82,20750,tensor(0.0154),tensor(95.2250)
83,21000,tensor(0.0560),tensor(95.5342)
84,21250,tensor(0.0154),tensor(94.6754)
85,21500,tensor(0.0327),tensor(95.0532)
86,21750,tensor(0.0043),tensor(94.2631)
87,22000,tensor(0.0499),tensor(94.5036)
88,22250,tensor(0.0103),tensor(95.1563)
89,22500,tensor(0.0306),tensor(94.3662)
90,22750,tensor(0.0110),tensor(95.0876)
91,23000,tensor(0.0148),tensor(94.4693)
92,23250,tensor(0.0583),tensor(94.7441)
93,23500,tensor(0.0050),tensor(94.6754)
94,23750,tensor(0.0051),tensor(94.5036)
95,24000,tensor(0.0041),tensor(95.1219)
96,24250,tensor(0.0088),tensor(95.3968)
97,24500,tensor(0.0225),tensor(94.7441)
98,24750,tensor(0.0064),tensor(95.3281)
99,25000,tensor(0.0284),tensor(94.0914)
100,25250,tensor(0.0104),tensor(94.8471)
101,25500,tensor(0.0371),tensor(94.6754)
102,25750,tensor(0.0352),tensor(94.3318)
103,26000,tensor(0.0304),tensor(94.4006)
104,26250,tensor(0.0052),tensor(95.1219)
105,26500,tensor(0.0053),tensor(94.7784)
106,26750,tensor(0.0049),tensor(95.1907)
107,27000,tensor(0.0055),tensor(95.1563)
108,27250,tensor(0.0080),tensor(95.1563)
109,27500,tensor(0.0058),tensor(95.0876)
110,27750,tensor(0.0111),tensor(95.2250)
111,28000,tensor(0.0010),tensor(94.5036)
112,28250,tensor(0.0245),tensor(95.3968)
113,28500,tensor(0.0348),tensor(95.3968)
114,28750,tensor(0.0105),tensor(94.8128)
115,29000,tensor(0.0007),tensor(95.4655)
116,29250,tensor(0.0016),tensor(95.2250)
117,29500,tensor(0.0007),tensor(95.0189)
118,29750,tensor(0.0352),tensor(95.4655)
119,30000,tensor(0.0023),tensor(95.3968)
120,30250,tensor(0.0007),tensor(95.4311)
121,30500,tensor(0.0235),tensor(94.9158)
122,30750,tensor(0.0038),tensor(94.6754)
123,31000,tensor(0.0033),tensor(95.6029)
124,31250,tensor(0.0370),tensor(95.0532)
125,31500,tensor(0.0180),tensor(94.6754)
126,31750,tensor(0.0006),tensor(95.2937)
127,32000,tensor(0.0009),tensor(95.0876)
128,32250,tensor(0.0824),tensor(95.6716)
129,32500,tensor(0.0013),tensor(95.1219)
130,32750,tensor(0.0004),tensor(95.9464)
131,33000,tensor(0.0019),tensor(95.7059)
132,33250,tensor(0.0016),tensor(94.8471)
133,33500,tensor(0.0059),tensor(95.6372)
134,33750,tensor(0.0013),tensor(95.4998)
135,34000,tensor(0.0060),tensor(94.9502)
136,34250,tensor(9.0313e-05),tensor(95.5685)
137,34500,tensor(0.0006),tensor(94.9845)
138,34750,tensor(0.0015),tensor(95.4998)
139,35000,tensor(0.0002),tensor(95.5685)
140,35250,tensor(0.0004),tensor(95.3968)
141,35500,tensor(0.0025),tensor(95.1563)
142,35750,tensor(0.0006),tensor(94.8471)
143,36000,tensor(0.0008),tensor(95.4998)
144,36250,tensor(0.0002),tensor(94.8815)
145,36500,tensor(0.0015),tensor(95.1563)
146,36750,tensor(0.0003),tensor(95.4655)
147,37000,tensor(0.0008),tensor(95.3281)
148,37250,tensor(0.0005),tensor(95.4311)
149,37500,tensor(0.0007),tensor(95.2937)
150,37750,tensor(0.0009),tensor(95.4655)
151,38000,tensor(0.0005),tensor(94.6754)
152,38250,tensor(0.0005),tensor(93.6791)
153,38500,tensor(0.0096),tensor(95.2250)
154,38750,tensor(0.0190),tensor(95.2594)
155,39000,tensor(0.0005),tensor(95.3624)
156,39250,tensor(0.0008),tensor(95.6716)
157,39500,tensor(0.0003),tensor(95.3281)
158,39750,tensor(0.0004),tensor(95.3968)
159,40000,tensor(0.0257),tensor(95.4998)
160,40250,tensor(0.0311),tensor(95.7403)
161,40500,tensor(7.0521e-05),tensor(95.7059)
162,40750,tensor(0.0035),tensor(95.0876)
163,41000,tensor(0.0010),tensor(95.2937)
164,41250,tensor(8.6608e-05),tensor(95.5685)
165,41500,tensor(0.0007),tensor(95.4998)
166,41750,tensor(5.4547e-05),tensor(95.5342)
167,42000,tensor(0.0011),tensor(95.6716)
168,42250,tensor(0.0005),tensor(95.4998)
169,42500,tensor(0.0004),tensor(95.7059)
170,42750,tensor(0.0165),tensor(94.1601)
171,43000,tensor(0.0015),tensor(95.4311)
172,43250,tensor(0.0009),tensor(95.1563)
173,43500,tensor(0.0002),tensor(95.0189)
174,43750,tensor(0.0029),tensor(95.7403)
175,44000,tensor(0.0002),tensor(95.6372)
176,44250,tensor(0.0008),tensor(94.5036)
177,44500,tensor(0.0003),tensor(95.4998)
178,44750,tensor(0.0002),tensor(95.0876)
179,45000,tensor(0.0003),tensor(95.2594)
180,45250,tensor(0.0002),tensor(95.3624)
181,45500,tensor(0.0067),tensor(94.5723)
182,45750,tensor(0.1399),tensor(94.0570)
183,46000,tensor(0.0023),tensor(95.2250)
184,46250,tensor(0.0010),tensor(95.1563)
185,46500,tensor(0.0014),tensor(95.4655)
186,46750,tensor(3.5544e-05),tensor(95.6372)
187,47000,tensor(0.0002),tensor(95.3281)
188,47250,tensor(0.0001),tensor(95.7403)
189,47500,tensor(8.5542e-05),tensor(95.7059)
190,47750,tensor(0.0076),tensor(95.1907)
191,48000,tensor(0.0016),tensor(95.2594)
192,48250,tensor(0.0002),tensor(95.6372)
193,48500,tensor(0.0002),tensor(95.2250)
194,48750,tensor(0.0008),tensor(95.3624)
195,49000,tensor(0.0003),tensor(95.7403)
196,49250,tensor(0.0002),tensor(95.7403)
197,49500,tensor(0.0296),tensor(94.8471)
198,49750,tensor(5.2389e-05),tensor(95.2250)
199,50000,tensor(0.0015),tensor(95.4311)
200,50250,tensor(0.0003),tensor(95.6372)
201,50500,tensor(8.0242e-05),tensor(95.7747)
202,50750,tensor(5.7020e-05),tensor(95.5342)
203,51000,tensor(3.1701e-05),tensor(95.7747)
204,51250,tensor(6.8804e-05),tensor(95.4998)
205,51500,tensor(9.7389e-05),tensor(95.7403)
206,51750,tensor(0.0001),tensor(95.5342)
207,52000,tensor(4.1375e-05),tensor(95.9808)
208,52250,tensor(0.0055),tensor(94.1601)
209,52500,tensor(0.0010),tensor(95.3624)
210,52750,tensor(0.0028),tensor(95.5685)
211,53000,tensor(3.9173e-05),tensor(95.2594)
212,53250,tensor(3.2852e-05),tensor(95.4655)
213,53500,tensor(0.0005),tensor(95.3968)
214,53750,tensor(8.0487e-05),tensor(96.0151)
215,54000,tensor(0.0004),tensor(95.6372)
216,54250,tensor(0.0001),tensor(95.6372)
217,54500,tensor(0.0294),tensor(93.4387)
218,54750,tensor(0.0004),tensor(94.7784)
219,55000,tensor(0.0023),tensor(95.6029)
220,55250,tensor(0.0002),tensor(95.7059)
221,55500,tensor(7.0710e-05),tensor(95.5342)
222,55750,tensor(0.0123),tensor(93.4387)
223,56000,tensor(0.0005),tensor(94.8815)
224,56250,tensor(8.4940e-05),tensor(95.5342)
225,56500,tensor(0.0002),tensor(95.5685)
226,56750,tensor(3.3794e-05),tensor(95.2594)
227,57000,tensor(0.0001),tensor(95.7747)
228,57250,tensor(9.4921e-05),tensor(95.6029)
229,57500,tensor(5.3513e-05),tensor(95.6372)
230,57750,tensor(2.8096e-05),tensor(95.6372)
231,58000,tensor(6.7558e-05),tensor(95.8434)
232,58250,tensor(4.1565e-05),tensor(95.5685)
233,58500,tensor(0.0012),tensor(95.6029)
234,58750,tensor(0.0001),tensor(95.9121)
235,59000,tensor(0.0006),tensor(95.5342)
236,59250,tensor(0.0003),tensor(95.4655)
237,59500,tensor(5.7110e-05),tensor(95.6029)
238,59750,tensor(0.0062),tensor(94.7441)
239,60000,tensor(0.0007),tensor(95.6372)
240,60250,tensor(0.0002),tensor(95.5342)
241,60500,tensor(6.0066e-05),tensor(95.5685)
242,60750,tensor(0.0087),tensor(94.8128)
243,61000,tensor(0.0002),tensor(95.4311)
244,61250,tensor(0.0008),tensor(95.5342)
