,0,1,2
0,250,tensor(0.2712),tensor(91.6408)
1,500,tensor(0.1647),tensor(93.2167)
2,750,tensor(0.1670),tensor(93.9202)
3,1000,tensor(0.2808),tensor(94.6693)
4,1250,tensor(0.2257),tensor(94.9479)
5,1500,tensor(0.1783),tensor(95.3727)
6,1750,tensor(0.1001),tensor(95.1672)
7,2000,tensor(0.1516),tensor(95.5326)
8,2250,tensor(0.2685),tensor(95.8204)
9,2500,tensor(0.1370),tensor(95.6377)
10,2750,tensor(0.2077),tensor(95.1718)
11,3000,tensor(0.1375),tensor(96.0214)
12,3250,tensor(0.0773),tensor(96.2589)
13,3500,tensor(0.1640),tensor(96.1447)
14,3750,tensor(0.1849),tensor(96.3503)
15,4000,tensor(0.1168),tensor(96.2954)
16,4250,tensor(0.0186),tensor(96.3229)
17,4500,tensor(0.2793),tensor(96.7203)
18,4750,tensor(0.0834),tensor(96.0168)
19,5000,tensor(0.1108),tensor(96.6609)
20,5250,tensor(0.2449),tensor(96.7385)
21,5500,tensor(0.0827),tensor(96.6700)
22,5750,tensor(0.0510),tensor(96.6380)
23,6000,tensor(0.1306),tensor(96.5421)
24,6250,tensor(0.2341),tensor(96.6061)
25,6500,tensor(0.0975),tensor(96.6517)
26,6750,tensor(0.1341),tensor(96.6792)
27,7000,tensor(0.0218),tensor(96.8938)
28,7250,tensor(0.1200),tensor(96.7568)
29,7500,tensor(0.1286),tensor(97.0811)
30,7750,tensor(0.1344),tensor(96.8071)
31,8000,tensor(0.1082),tensor(95.8158)
32,8250,tensor(0.0674),tensor(96.7659)
33,8500,tensor(0.0678),tensor(96.7751)
34,8750,tensor(0.1192),tensor(96.7340)
35,9000,tensor(0.0248),tensor(96.5056)
36,9250,tensor(0.0967),tensor(96.9715)
37,9500,tensor(0.0574),tensor(97.1405)
38,9750,tensor(0.1321),tensor(96.9258)
39,10000,tensor(0.1481),tensor(97.2364)
40,10250,tensor(0.0765),tensor(96.5650)
41,10500,tensor(0.1036),tensor(97.1177)
42,10750,tensor(0.0865),tensor(96.9578)
43,11000,tensor(0.1077),tensor(97.2821)
44,11250,tensor(0.1336),tensor(97.1085)
45,11500,tensor(0.0899),tensor(97.0811)
46,11750,tensor(0.0997),tensor(97.2593)
47,12000,tensor(0.0433),tensor(96.1858)
48,12250,tensor(0.0613),tensor(97.1451)
49,12500,tensor(0.1390),tensor(97.2456)
50,12750,tensor(0.0153),tensor(97.2090)
51,13000,tensor(0.0777),tensor(97.1999)
52,13250,tensor(0.1330),tensor(97.1268)
53,13500,tensor(0.1465),tensor(97.2227)
