,0,1,2
0,250,tensor(0.4200),tensor(82.8925)
1,500,tensor(0.3734),tensor(84.2666)
2,750,tensor(0.2298),tensor(90.5531)
3,1000,tensor(0.2350),tensor(90.0034)
4,1250,tensor(0.1962),tensor(90.6218)
5,1500,tensor(0.1323),tensor(91.2058)
6,1750,tensor(0.1500),tensor(93.5761)
7,2000,tensor(0.0639),tensor(92.7860)
8,2250,tensor(0.1508),tensor(91.7898)
9,2500,tensor(0.1037),tensor(92.8203)
10,2750,tensor(0.0796),tensor(93.6791)
11,3000,tensor(0.1390),tensor(93.2326)
12,3250,tensor(0.1011),tensor(91.9272)
13,3500,tensor(0.0548),tensor(94.9845)
14,3750,tensor(0.0598),tensor(94.7097)
15,4000,tensor(0.0409),tensor(93.9540)
16,4250,tensor(0.0793),tensor(94.9845)
17,4500,tensor(0.0993),tensor(94.9845)
18,4750,tensor(0.1341),tensor(95.0532)
19,5000,tensor(0.0622),tensor(95.7747)
20,5250,tensor(0.0272),tensor(94.9502)
21,5500,tensor(0.1343),tensor(95.2250)
22,5750,tensor(0.1084),tensor(95.3968)
23,6000,tensor(0.0809),tensor(94.8471)
24,6250,tensor(0.0068),tensor(93.7822)
25,6500,tensor(0.0670),tensor(95.6716)
26,6750,tensor(0.0340),tensor(96.0151)
27,7000,tensor(0.0269),tensor(95.3624)
28,7250,tensor(0.0223),tensor(96.4273)
29,7500,tensor(0.0205),tensor(95.6029)
30,7750,tensor(0.0595),tensor(95.2937)
31,8000,tensor(0.0626),tensor(95.6372)
32,8250,tensor(0.0660),tensor(96.1182)
33,8500,tensor(0.1021),tensor(95.2937)
34,8750,tensor(0.0068),tensor(95.9464)
35,9000,tensor(0.0142),tensor(96.5648)
36,9250,tensor(0.0118),tensor(95.3968)
37,9500,tensor(0.0974),tensor(96.1869)
38,9750,tensor(0.0167),tensor(96.4273)
39,10000,tensor(0.0059),tensor(96.0838)
40,10250,tensor(0.0268),tensor(96.2556)
41,10500,tensor(0.0334),tensor(95.8090)
42,10750,tensor(0.0315),tensor(95.3968)
43,11000,tensor(0.0496),tensor(95.9121)
44,11250,tensor(0.0531),tensor(95.3281)
45,11500,tensor(0.0204),tensor(96.6678)
46,11750,tensor(0.0119),tensor(96.5648)
47,12000,tensor(0.0124),tensor(96.7022)
48,12250,tensor(0.0067),tensor(96.1525)
49,12500,tensor(0.0122),tensor(96.4617)
50,12750,tensor(0.0143),tensor(96.6335)
51,13000,tensor(0.0014),tensor(96.3930)
52,13250,tensor(0.0262),tensor(97.0457)
53,13500,tensor(0.0075),tensor(96.7022)
54,13750,tensor(0.0138),tensor(96.4617)
55,14000,tensor(0.0084),tensor(96.7709)
56,14250,tensor(0.0477),tensor(95.7059)
57,14500,tensor(0.0056),tensor(96.6678)
58,14750,tensor(0.0105),tensor(96.7709)
59,15000,tensor(0.1190),tensor(96.5991)
60,15250,tensor(0.0326),tensor(96.1869)
61,15500,tensor(0.0529),tensor(96.4960)
62,15750,tensor(0.0454),tensor(96.2556)
63,16000,tensor(0.0193),tensor(96.2556)
64,16250,tensor(0.0171),tensor(96.8739)
65,16500,tensor(0.0879),tensor(95.6716)
66,16750,tensor(0.0059),tensor(96.8052)
67,17000,tensor(0.0046),tensor(97.3549)
68,17250,tensor(0.0079),tensor(96.4960)
69,17500,tensor(0.0039),tensor(96.5304)
70,17750,tensor(0.0984),tensor(97.3892)
71,18000,tensor(0.0431),tensor(96.4960)
72,18250,tensor(0.0821),tensor(96.6335)
73,18500,tensor(0.0063),tensor(96.8739)
74,18750,tensor(0.0192),tensor(96.6335)
75,19000,tensor(0.0082),tensor(97.0457)
76,19250,tensor(0.0308),tensor(96.7709)
77,19500,tensor(0.0440),tensor(96.8396)
78,19750,tensor(0.0394),tensor(96.2556)
79,20000,tensor(0.0171),tensor(95.6372)
80,20250,tensor(0.0198),tensor(97.0113)
81,20500,tensor(0.0597),tensor(96.6335)
82,20750,tensor(0.0118),tensor(96.9426)
83,21000,tensor(0.0016),tensor(96.2212)
84,21250,tensor(0.0119),tensor(96.7022)
85,21500,tensor(0.0024),tensor(96.5991)
86,21750,tensor(0.0305),tensor(96.9083)
87,22000,tensor(0.0097),tensor(97.1831)
88,22250,tensor(0.0516),tensor(96.0838)
89,22500,tensor(0.0359),tensor(97.1487)
90,22750,tensor(0.0261),tensor(96.9770)
91,23000,tensor(0.0145),tensor(96.9426)
92,23250,tensor(0.0124),tensor(96.9770)
93,23500,tensor(0.0147),tensor(97.7327)
94,23750,tensor(0.0225),tensor(96.4617)
95,24000,tensor(0.0073),tensor(96.4960)
96,24250,tensor(0.0095),tensor(96.8052)
97,24500,tensor(0.0449),tensor(97.1487)
98,24750,tensor(0.0426),tensor(96.5991)
99,25000,tensor(0.0049),tensor(97.3892)
100,25250,tensor(0.0227),tensor(96.3930)
101,25500,tensor(0.0077),tensor(97.2518)
102,25750,tensor(0.0234),tensor(96.8052)
103,26000,tensor(0.0263),tensor(96.9083)
104,26250,tensor(0.0187),tensor(96.9426)
105,26500,tensor(0.0272),tensor(97.5953)
106,26750,tensor(0.0156),tensor(97.5266)
107,27000,tensor(0.0039),tensor(97.2175)
108,27250,tensor(0.0119),tensor(96.5991)
109,27500,tensor(0.0086),tensor(96.9426)
110,27750,tensor(0.0046),tensor(96.8396)
111,28000,tensor(0.0160),tensor(97.4579)
112,28250,tensor(0.0262),tensor(96.6335)
113,28500,tensor(0.0021),tensor(97.8701)
114,28750,tensor(0.0413),tensor(96.8052)
115,29000,tensor(0.0101),tensor(97.3892)
116,29250,tensor(0.0106),tensor(97.2175)
117,29500,tensor(0.0125),tensor(96.2212)
118,29750,tensor(0.0032),tensor(97.3205)
119,30000,tensor(0.0103),tensor(97.3549)
120,30250,tensor(0.0063),tensor(95.7059)
121,30500,tensor(0.0042),tensor(97.2175)
122,30750,tensor(0.0030),tensor(96.8396)
