epoch,accuracy
1,0.7192
2,0.7445
3,0.7660
4,0.7789
5,0.7935
6,0.7879
7,0.8021
8,0.8025
9,0.8115
10,0.8128
11,0.8119
12,0.8106
13,0.8128
14,0.8132
15,0.8132
16,0.8158
17,0.8141
18,0.8179
19,0.8235
20,0.8295
21,0.8334
22,0.8244
23,0.8356
24,0.8373
25,0.8347
26,0.8450
27,0.8394
28,0.8463
29,0.8476
30,0.8467
31,0.8489
32,0.8433
33,0.8523
34,0.8476
35,0.8519
36,0.8480
37,0.8549
38,0.8540
39,0.8557
40,0.8574
41,0.8570
42,0.8536
43,0.8583
44,0.8596
45,0.8609
46,0.8609
47,0.8605
48,0.8587
49,0.8600
50,0.8609
