Epoch,accuracy
1,0.7170
2,0.7523
3,0.7870
4,0.7982
5,0.8055
6,0.8094
7,0.8046
8,0.8171
9,0.8205
10,0.8227
11,0.8252
12,0.8308
13,0.8317
14,0.8373
15,0.8411
16,0.8493
17,0.8519
18,0.8480
19,0.8570
20,0.8579
21,0.8600
22,0.8600
23,0.8609
24,0.8630
25,0.8660
26,0.8695
27,0.8678
28,0.8703
29,0.8738
30,0.8781
31,0.8768
32,0.8755
33,0.8828
34,0.8866
35,0.8858
36,0.8901
37,0.8866
38,0.8939
39,0.8836
40,0.8914
41,0.8935
42,0.8974
43,0.8918
44,0.8905
45,0.8974
46,0.8948
47,0.9008
48,0.8982
49,0.8961
50,0.8987
51,0.9008
52,0.9034
53,0.9060
54,0.9047
55,0.9051
56,0.9047
57,0.9073
58,0.9060
59,0.9107
60,0.9085
61,0.9094
62,0.9111
63,0.9111
64,0.9103
65,0.9094
66,0.9124
67,0.9107
68,0.9128
69,0.9146
70,0.9158
71,0.9146
72,0.9133
73,0.9146
74,0.9180
75,0.9158
76,0.9141
77,0.9146
78,0.9141
79,0.9141
